Name,Description,Path,,,,,,,,,,,,,
Manually_checkig_gencode_versions,his code is meant for manually checking gencode versions.,/labs/smontgom/grps_smontgom/hkrupkin/GxE/Code/Manually_checkig_gencode_versions.R,,,,,,,,,,,,,
Creating_TensorQTL_Appropriate_FilesV2,"this is an R script meant to create all the files needed to run tensor QTL, it is improved upon the previsous version as we need the interaction terms to be in a seprate file",/labs/smontgom/grps_smontgom/hkrupkin/GxE/Code/Creating_TensorQTL_Appropriate_FilesV2.R,,,,,,,,,,,,,
Examining_GenePathWays_From_GxE_Analysis,This script is meant to take all the signficant hits from GxE. #and looking if the genes from the gene expression or the regions from the methylations are all from specific pathways,/oak/stanford/groups/smontgom/hkrupkin/Code/Examining_GenePathWays_From_GxE_Analysis.R,,,,,,,,,,,,,
Examining_GxE_Variants.R,Examining_GxE_Variants,/oak/stanford/groups/smontgom/hkrupkin/Code/Examining_GxE_Variants.R,,,,,,,,,,,,,
QQplots_and_Inflation_Factors_GxE_Analysis,making QQ plots and measuring inflation factors for GxE analyses###########,/oak/stanford/groups/smontgom/hkrupkin/Code/QQplots_and_Inflation_Factors_GxE_Analysis.R,,,,,,,,,,,,,
reviewing_GxE_Pathways,This script is meant to load GxE pathway hits from the script /oak/stanford/groups/smontgom/hkrupkin/Code/Examining_GenePathWays_From_GxE_Analysis.R,/oak/stanford/groups/smontgom/hkrupkin/Code/reviewing_GxE_Pathways.R,,,,,,,,,,,,,
correlating_phenotypes_with_eigenFeatures_simple,This script is meant to examine the correlaiton between phenotypes and eigenFeatures in GxE analysis somply with age + sex +variable~phenotype (eigen feature),/oak/stanford/groups/smontgom/hkrupkin/GxE/Code/correlating_phenotypes_with_eigenFeatures_simple.R,,,,,,,,,,,,,
Annotating_Methylation_DataV2,"add to methylation data whether CpG is in a gene and which ENSEMBL gene(s),",/oak/stanford/groups/smontgom/hkrupkin/Code/Annotating_Methylation_DataV2.R,,,,,,,,,,,,,
Examine_Coloc_results_fairfex_versus_GxE,this script is meant to examine the results from the colonization between FairFex and GxE,/oak/stanford/groups/smontgom/hkrupkin/Code/Examine_Coloc_results_fairfex_versus_GxE.R,,,,,,,,,,,,,
manhatan_plotting_one_metabolite,make a manhatan plot for one tested thingy for GxE,/oak/stanford/groups/smontgom/hkrupkin/GxE/Code/manhatan_plotting_one_metabolite.R,,,,,,,,,,,,,
summary_tpms_for_transcriptome_GxE,This script is meant to average to get the per cell type averages across samples,/oak/stanford/groups/smontgom/hkrupkin/GxE/Code/summary_tpms_for_transcriptome_GxE.R,,,,,,,,,,,,,
